Title,Role,Score,Year,Free
超能少年之宿命之战,主演:李国麟曾伟权韩马利,6.0,2017,付费
古院迷情,主演:楚建,6.0,2017,付费
光头侠,主演:黄彬龙一一,6.3,2017,付费
青木诗社怪谈,主演:邓欣张永博,7.0,2017,付费
模特前规则,主演:王明明,6.1,2017,付费
阴阳咒,主演:陈鑫鑫王家连黄国兴,6.2,2017,付费
吃不了兜着走之港城风云,主演:纪海星刘东健杨永,6.2,2017,付费
好事行龙,主演:崔大笨红豆,6.1,2017,付费
我的女友是只猫,主演:杨浩,6.4,2017,付费
罗本的反击,主演:王广滨张天文,6.1,2017,付费
风月道人斗魔女,主演:王萌赵思,6.4,2017,付费
青城僵尸,主演:申琦刘诗童,6.5,2017,付费
追爱100天,主演:徐大宁霍秋慧,6.4,2017,付费
总有刁民想害朕,主演:李健仁杨能,7.2,2017,付费
雨夜恶魔,主演:苏德伦陶晶晶,6.3,2017,付费
耿直河南人,主演:樊伟鹏王晨王家霖,6.6,2017,付费
血战边境线,主演:刘峰超,6.8,2017,付费
三界之守铃者,主演:陈娜娜曾文明,6.6,2017,付费
三头六臂,主演:赵锦焘周子龙,6.5,2017,付费
中英街探案,主演:王元于青松,6.3,2017,付费
星灵传说,主演:王海祥徐冬梅王光辉,6.1,2017,付费
美女鬼上身,主演:李靓雨张越宁,6.3,2017,付费
贴身萌妹腹黑计划,主演:黄垲翔王骊亚,6.2,2017,付费
银河少女,主演:刘宇珽刘凌菱,6.0,2017,付费
疯狂熊猫血,主演:梁小松肖燕邵伟轩,6.8,2017,付费
手机控,主演:宋雷涛史沐可,6.4,2017,付费
缞神契约,主演:贾景晖林爽赵骏,7.2,2017,付费
拳锋,主演:袁建坤郭惟晨柳海龙,6.3,2017,付费
初秋,主演:刘笑语王紫硕,6.4,2017,付费
绝密恋人,主演:陈杨子王沛,6.5,2017,付费
超能少年之宿命之战,主演:李国麟曾伟权韩马利,6.0,2017,付费
古院迷情,主演:楚建,6.0,2017,付费
光头侠,主演:黄彬龙一一,6.3,2017,付费
青木诗社怪谈,主演:邓欣张永博,7.0,2017,付费
模特前规则,主演:王明明,6.1,2017,付费
阴阳咒,主演:陈鑫鑫王家连黄国兴,6.2,2017,付费
吃不了兜着走之港城风云,主演:纪海星刘东健杨永,6.2,2017,付费
好事行龙,主演:崔大笨红豆,6.1,2017,付费
我的女友是只猫,主演:杨浩,6.4,2017,付费
罗本的反击,主演:王广滨张天文,6.1,2017,付费
风月道人斗魔女,主演:王萌赵思,6.4,2017,付费
青城僵尸,主演:申琦刘诗童,6.5,2017,付费
追爱100天,主演:徐大宁霍秋慧,6.4,2017,付费
总有刁民想害朕,主演:李健仁杨能,7.2,2017,付费
雨夜恶魔,主演:苏德伦陶晶晶,6.3,2017,付费
耿直河南人,主演:樊伟鹏王晨王家霖,6.6,2017,付费
血战边境线,主演:刘峰超,6.8,2017,付费
三界之守铃者,主演:陈娜娜曾文明,6.6,2017,付费
三头六臂,主演:赵锦焘周子龙,6.5,2017,付费
中英街探案,主演:王元于青松,6.3,2017,付费
星灵传说,主演:王海祥徐冬梅王光辉,6.1,2017,付费
美女鬼上身,主演:李靓雨张越宁,6.3,2017,付费
贴身萌妹腹黑计划,主演:黄垲翔王骊亚,6.2,2017,付费
银河少女,主演:刘宇珽刘凌菱,6.0,2017,付费
疯狂熊猫血,主演:梁小松肖燕邵伟轩,6.8,2017,付费
手机控,主演:宋雷涛史沐可,6.4,2017,付费
缞神契约,主演:贾景晖林爽赵骏,7.2,2017,付费
拳锋,主演:袁建坤郭惟晨柳海龙,6.3,2017,付费
初秋,主演:刘笑语王紫硕,6.4,2017,付费
绝密恋人,主演:陈杨子王沛,6.5,2017,付费
我的女佬师,主演:张朋,6.4,2017,付费
