Title,Artist,Time,Lyric
挨拶から始めよう,Team 8(AKB48),"
発売日：2015-03-04",にっこり笑って挨拶してみましょう片想い中　あの人見かけたらぎこちなくてもいいよ今できるのは　それくらい恋はいつだって遠回りわっ！ドキドキして来るよね想像しただけで…ほっぺたが火照ったり掌(てのひら)が汗ばんで来るあっ！目が合ってしまったら俯(うつむ)いてしまうかも…心臓が飛び出そう緊張するのは当たり前ね朝の陽射しを　味方につけて緑の木々が風に揺れる素敵な1日のために小鳥たちは歌うにっこり笑って挨拶してみましょう初めは小さな声でもしょうがない少しずつでいいから大きな声を出すのよいつかは振り向いてくれるようににっこり笑って挨拶してみましょう片想い中　あの人見かけたらぎこちなくてもいいよ今できるのは　それくらい恋はいつだって遠回りそう　まわりの人のことなんて気にしなくていいその場所の主人公はあなたとあの人の2人だけ大事なことは続けることよ今日も明日も明後日も…変わらぬ気持ちでずっと太陽がある限り人間関係　1から始めましょう自分の存在　気づいてもらおうよ会話にはならなくたって微笑みかけていれば誰でも　誰でも微笑み返すもの人間関係　1から始めましょうどんな恋人も最初は距離がある何となく惹き寄せられてもっとすべてを知りたくて向き合うようになるのよ誰かのことを好きになるということは世界中を好きになることにっこり笑って挨拶してみましょう初めは小さな声でもしょうがない少しずつでいいから大きな声を出すのよいつかは振り向いてくれるようににっこり笑って挨拶してみましょう片想い中　あの人見かけたらぎこちなくてもいいよ今できるのは　それくらい恋はいつだって遠回り
哀愁のトランペッター,Team K(AKB48),"
発売日：2016-06-01",昔のキャバレー葉巻の煙紫のドレスで席に着くうんざりするような高飛車な客ペトリュスを開けても笑顔は偽り耳元で囁かれる前に今夜のハンティングをそろそろ始めましょうか？(おじさん　おじさん　こちらへ)愛のゲーム哀愁のブラスが響き渡る愛したその人はあのバンドマンこっちの方　見ながらペットを吹く悲しいソロパート動く指先昨日の夜を覚えてる黒服たちにもチップを弾む大物を気取った嫌な奴指名をされても嬉しくもない本当の名前は化粧で隠すわミラーボールが回り始めてホールに誘われたら無下に断れないわ(おじさん　おじさん　こちらへ)よそよそしく哀愁のブラスが胸に迫るちらりと目をやったあのバンドマン頬を膨らませて夢を吹く愛を叫ぶように濡らす唇昨日の夜を覚えてる誰も知らない２人の秘密なんてセクシーな音色今夜は　そう特別に…(おじさん　おじさん　くたばれ)あの人のもの哀愁のブラスが響き渡る愛したその人はあのバンドマンこっちの方　見ながらペットを吹く悲しいソロパート動く指先昨日の夜を覚えてる
アイスのくちづけ,AKB48,"
発売日：2011-08-24",花柄のカーテンを開ければ降り注ぐ夏の太陽目の前に広がる真っ青な海背中から抱きついた君さ恋は神様の気まぐれ顔を近づけて…アイスのくちづけなぜだか甘くて冷たくて胸の奥のどこかがキュンとしたアイスのくちづけちょっぴりぶどうの味がした凍った果実を食べていたんだね無邪気に笑い転げるそんな君が愛しいジリジリと陽に灼いた肌は一緒に過ごした時間カレンダーめくって帰ると言ったわがままが君らしい突然僕は「どうして?」と聞けずに拗ねたフリをしたアイスのときめきハートがリプレイしているよさっきよりも切ない夢になるアイスのときめきごめんねいたずらしたことをなだめるみたいに僕にハグをして1人で部屋を出て行くそんな君が愛しい君は猫のように自由で誰にも止められないアイスのくちづけなぜだか甘くて冷たくて胸の奥のどこかがキュンとしたアイスのくちづけちょっぴりぶどうの味がした凍った果実を食べていたんだね無邪気に笑い転げるそんな君が愛しい
会いたかった,AKB48,"
発売日：2006-10-25",会いたかった　会いたかった会いたかった　Yes!会いたかった　会いたかった会いたかった　Yes!君に…自転車全力でペダル漕ぎながら坂を登る風に膨らんでるシャツも今はもどかしいやっと気づいた　本当の気持ち正直にゆくんだたったひとつこの道を走れ!好きならば　好きだと言おう誤魔化さず　素直になろう好きならば　好きだと言おう胸の内　さらけ出そうよ会いたかった　会いたかった会いたかった　Yes!会いたかった　会いたかった会いたかった　Yes!君に…どんどん溢れ出す汗も拭わずに素顔のまま木洩れ日のトンネル夏へ続く近道さそんな上手に　話せなくてもストレートでいい自分らしい生き方で走れ!誰よりも　大切だから振られても　後悔しない誰よりも　大切だからこの気持ち　伝えたかった好きならば　好きだと言おう誤魔化さず　素直になろう好きならば　好きだと言おう胸の内　さらけ出そうよラララララ　ララララララララララララ　ララララララララララララ　ララララララララララララ　ラララララララ会いたかった　会いたかった会いたかった　Yes!会いたかった　会いたかった会いたかった　Yes!君に…会いたかった!!
愛と悲しみの時差,山本彩(AKB48),"
発売日：2015-01-21",長い髪を切ったあの日あなたは部屋を出てった風が少し肌寒くてコートの襟を合わせた携帯の留守電なんか聴かないわ未来のない愛の炎は消えればいいなんて割り切っていたのに街の景色が滲むこんなよくある出来事になぜか整理がつかない自分　見失うくらいに何が悲しいのかなそれならそれでもいいってさっきは思っていた愛をその後知った高いビルの下を歩く私は空を見上げるずっと忘れていたものをようやく思い出したのサヨナラとはっきり言えば楽だったその傷口見たくないからほうっておいたどんな強がっていたって今も愛してることちゃんと向き合うことでしか前に進めないと思うもっと　涙流した方がすべて終わりにできる私は弱くていいんだようやく思えて来た愛を学習したわなんて割り切っていたのに街の景色が滲むこんなよくある出来事になぜか整理がつかない自分　見失うくらいに何が悲しいのかなそれならそれでもいいってさっきは思っていた愛をその後知った
愛とプライド,AKB48,"
発売日：2013-01-01","君はまるでわがままな猫　誰のものにもならないミルクと自由が大好きで　追いかければ逃げるWhat is love?What is love?どこかへ行ってしまったWhat is love?You know? What is love?それでも　なぜ　僕はここにいる?愛はプライドを捨てること振り向いてくれなくても君が好きだからしょうがないずっとずっと待ってるよ愛はプライドを捨てることそんなことどうでもいい君はいつまでも　君のまま僕は受け止めるだけさでも時々　淋しそうな目で　遠くから僕を見てる甘えたいのに意地っ張りで　すぐに視線外すLove me do!Love me do!抱かれ方がわからずにLove me do!I say, Love me do!腕の中は居心地悪そう愛はどれくらい許せるか?自分に問いかけることどんなひどいことされたって君を嫌いになれない愛はどれくらい許せるか?Mになりきったように僕はこれからも　僕のまま君の名前　呼ぶだろう愛はプライドを捨てること振り向いてくれなくても君が好きだからしょうがないずっとずっと待ってるよ愛はプライドを捨てることそんなことどうでもいい君はいつまでも　君のまま僕は受け止めるだけさ愛はどれくらい許せるか?Mになりきったように僕はこれからも　僕のまま君の名前　呼ぶだろう"
アイドルなんて呼ばないで,AKB48,"
発売日：2013-01-22",アイドルなんて呼ばないでアイドルなんて呼ばないで私はいつでもあなたを見てる学校に行く途中で待ち伏せるどんな男子にも興味ない携帯で隠し撮りされたってきっと　そっけない表情でしょう愛されるより愛したいの遠い場所から憧れてる人には言えない片思いアイドルだって恋をするアイドルだって恋をする年頃になればみんなと同じ嬉しい時は微笑んで悲しい時は涙する私も普通の女の子です手紙やプレゼントを渡されて握手することに慣れてない彼らが夢見ている女の子そんなお人形になれないからもっと　自由に恋をしたいピュアなイメージ息苦しいそのうちエッチもしてみたいアイドルなんて呼ばないでアイドルなんて呼ばないでホントは架空の恋人だけど心の中に現れるやさしい星の王子様私はいつでもあなたを見てるLA・LA・LA・LA・LALA・LA・LA・LA・LA私　絶対にアイドルじゃないアイドルなんて呼ばないでアイドルなんて呼ばないでホントは架空の恋人だけど心の中に現れるやさしい星の王子様私はいつでもあなたを見てるLA・LA・LA・LA・LALA LA LA LA LAあなた　あなただけのアイドルになる
アイドルの夜明け,AKB48,"
発売日：2013-01-01",A!K!B!48A!K!B!48進め!果てしない道を前へ!夢だけを信じ強く!腕を振り歩け立ち止まることなく…進め!青春の道を前へ!迷わずに行こう目指せ!輝いた未来チャンスは今だ息が切れても弱音吐くなよ汗を拭って頑張れ!Ready!GO!GO!GO!Ready!GO!GO!GO!アイドルの夜明けが来たReady!GO!GO!GO!Ready!GO!GO!GO!あの太陽は私だReady!GO!GO!GO!Ready!GO!GO!GO!背中押す時代の風Ready!GO!GO!GO!Ready!GO!GO!GO!白んだ空は希望だあの太陽は私だ進め!ぬかるんだ道を向かえ!可能性を胸に続け!同じ夢の仲間あきらめることなく…進め!遠回りしても続け!くじけたりしないいつか　辿り着く日まで号令のまま地図はないけど遥か彼方にきっとあるはず憧れReady!GO!GO!GO!Ready!GO!GO!GO!アイドルの夜明けが来たReady!GO!GO!GO!Ready!GO!GO!GO!あの太陽は私だReady!GO!GO!GO!Ready!GO!GO!GO!我が軍の旗　たなびかせReady!GO!GO!GO!Ready!GO!GO!GO!約束の地に集合どんな願いも叶うよA!K!B!48A!K!B!48Ready!GO!GO!GO!Ready!GO!GO!GO!アイドルの夜明けが来たReady!GO!GO!GO!Ready!GO!GO!GO!あの太陽は私だReady!GO!GO!GO!Ready!GO!GO!GO!背中押す時代の風Ready!GO!GO!GO!Ready!GO!GO!GO!白んだ空は希望だあの太陽は私だA!K!B!48A!K!B!48
会いに行こう,AKB48,"
発売日：2013-01-01",会いに行こういつの日にかあなたの街へ会いに行こうバスに揺られ思い出の道迎えになんて来ないで一人で行けるから恋をするには荷物が多すぎたねやりたいことが心からはみ出した夢のいくつか叶う時まで別れを告げた大切なもの選びきれない今の私会いに行こうこの場所から自分の足で会いに行こうサプライズできれいになってあなたが誰かといたらそのまま帰るから後悔しない生き方したかったの手を伸ばすのは今しかできないことあなた以上に素敵な人はいないと思う流す涙は笑顔の準備教えられた会いに行こういつの日にかあなたの街へ会いに行こうバスに揺られ思い出の道迎えになんて来ないで一人で行けるから会いに行こうこの場所から自分の足で会いに行こうサプライズできれいになってあなたが誰かといたらそのまま帰るから
愛の意味を考えてみた,アンダーガールズ(AKB48),"
発売日：2013-08-21",愛の意味を考えてみたなぜに僕はしあわせと言えるか?ずっと生きていれば人生　いろいろある悲しみは避けられない坂道人は誰もみんな時に傷つくんだ泥を払い立ち上がり歩き出す雲が流れて胸のどこかに日陰できても太陽を待とう愛の意味をやがて知るだろうどんな時も一人ではないこと涙　涸(か)れるくらいつらいこともあるさ絶望の淵を滑り落ちた谷底今　見上げてみろ!空は見えるだろう一歩一歩這い上がる壁はあるきっと平気さ誰かいるから何度落ちてもあきらめはしない愛の意味を考えてみたなぜに僕はしあわせと言えるか?明日(あす)も生きたい君に会いたいただ　それだけ愛の意味をやがて知るだろうどんな時も一人ではないこと愛の意味を考えてみた今の僕は大切にしてるか?
